country	capital	area	population	continent	currency
afghanistan_PN	kabul_PN	652230	36643815	asia_1_PN	(AdjCN (PositA afghan_1_A) (UseN afghani_1_N))
albania_PN	tirana_PN	28748	3020209	europe_1_PN	(AdjCN (PositA albanian_A) (UseN lek_N))
algeria_PN	algiers_PN	2381741	41318142	africa_PN	(AdjCN (PositA Algerian) (UseN dinar_9_N))
andorra_PN	andorra_la_vella_PN	468	76177	europe_1_PN	(UseN euro_1_N)
angola_PN	luanda_PN	1246700	29784193	africa_PN	(UseN kwanza_1_N)
antigua_and_barbuda_PN	saint_john's_PN	440	102012	north_america_1_PN	(AdjCN (PositA eastern_caribbean_A) (UseN dollar_1_N))
argentina_1_PN	buenos_aires_PN	2780400	44938712	south_america_1_PN	(AdjCN (PositA argentine_A) (UseN peso_9_N))
armenia_PN	yerevan_PN	29743	2930450	europe_1_PN	(AdjCN (PositA armenian_A) (UseN dram_3_N))
australia_1_PN	canberra_PN	7692024	24511800	australia_2_PN	(AdjCN (PositA australian_A) (UseN dollar_1_N))
austria_PN	vienna_PN	83879	8809212	europe_1_PN	(UseN euro_1_N)
azerbaijan_PN	baku_PN	86600	10127874	asia_1_PN	(AdjCN (PositA azerbaijani_A) (UseN manat_2_N))
bahrain_2_PN	manama_PN	785	1492584	asia_1_PN	(AdjCN (PositA bahraini_A) (UseN dinar_8_N))
bangladesh_PN	dacca_PN	147570	165775000	asia_1_PN	(AdjCN (PositA bangladeshi_A) (UseN taka_N))
barbados_1_PN	bridgetown_PN	439	285719	north_america_1_PN	(AdjCN (PositA barbadian_A) (UseN dollar_1_N))
belarus_PN	minsk_PN	207595	9349645	europe_1_PN	(AdjCN (PositA belarusian_A) (UseN ruble_2_N))
belgium_PN	brussels_PN	30528	11431406	europe_1_PN	(UseN euro_1_N)
belize_PN	belmopan_PN	22966	374681	central_america_1_PN	(GenPN belize_PN (UseN dollar_1_N))
